K,accuracy,precision,recall,f1score
1,0.73,0.815631015758893,0.736,0.7697384517131078
3,0.7275,0.8482276714513557,0.692,0.7567935147199732
5,0.7075,0.8279370938658864,0.6839999999999999,0.7435714641281337
7,0.6849999999999999,0.8087922564789572,0.6639999999999999,0.7232061732214081
9,0.7075000000000001,0.8319198056845115,0.6799999999999999,0.7409360797340019
11,0.7175,0.8432428843298408,0.6839999999999999,0.7477682987989521
13,0.7225,0.8498985088985089,0.6839999999999999,0.7503337652617209
15,0.7125,0.8461028187498776,0.672,0.7412660855039139
17,0.7,0.8305416152474976,0.664,0.7302098293992232
19,0.725,0.855577360264061,0.6839999999999999,0.7519563364747437
21,0.7224999999999999,0.8456272676598763,0.688,0.753109081647326
23,0.7174999999999999,0.8472591357917445,0.6759999999999999,0.7447444267693125
25,0.715,0.8487170231729056,0.6679999999999999,0.741492237114565
27,0.7149999999999999,0.8487585440874914,0.6679999999999999,0.7415779244183387
29,0.7125,0.8435014009897911,0.6719999999999999,0.7412499976110067
31,0.71,0.8363003418150476,0.6759999999999999,0.74021935459495
33,0.7025,0.8244596779209783,0.6799999999999999,0.7366358035414529
35,0.69,0.8073602924996115,0.672,0.7257763307436117
37,0.7075,0.8153896379068003,0.7,0.7451839011500755
39,0.705,0.8020083311044409,0.712,0.7480583335198023
41,0.7100000000000001,0.8020417698243787,0.724,0.7548298367444768
43,0.705,0.8006193404019492,0.72,0.7520080517286982
45,0.6900000000000001,0.784755291005291,0.704,0.7375877225839352
47,0.6824999999999999,0.7682473082473084,0.716,0.7352747675091541
49,0.69,0.7663129744651485,0.736,0.7457399563599025
